from_id,to_id,type,as_of,source,confidence
c_asml,l_equipment,OPERATES_IN,2026-04-01,essential-guide,high
c_applied_materials,l_equipment,OPERATES_IN,2026-04-01,essential-guide,high
c_lam_research,l_equipment,OPERATES_IN,2026-04-01,essential-guide,high
c_kla,l_equipment,OPERATES_IN,2026-04-01,essential-guide,high
c_tokyo_electron,l_equipment,OPERATES_IN,2026-04-01,essential-guide,high
c_zeiss,l_equipment,OPERATES_IN,2026-04-01,essential-guide,medium
c_cymer,l_equipment,OPERATES_IN,2026-04-01,essential-guide,medium
c_shin_etsu,l_materials,OPERATES_IN,2026-04-01,essential-guide,high
c_sumco,l_materials,OPERATES_IN,2026-04-01,essential-guide,high
c_jsr,l_materials,OPERATES_IN,2026-04-01,essential-guide,high
c_tok,l_materials,OPERATES_IN,2026-04-01,essential-guide,high
c_tsmc,l_foundry,OPERATES_IN,2026-04-01,essential-guide,high
c_smic,l_foundry,OPERATES_IN,2026-04-01,essential-guide,high
c_globalfoundries,l_foundry,OPERATES_IN,2026-04-01,essential-guide,high
c_samsung,l_idm,OPERATES_IN,2026-04-01,essential-guide,medium
c_intel,l_idm,OPERATES_IN,2026-04-01,essential-guide,high
c_micron,l_idm,OPERATES_IN,2026-04-01,essential-guide,medium
c_ti,l_idm,OPERATES_IN,2026-04-01,essential-guide,medium
c_infineon,l_idm,OPERATES_IN,2026-04-01,essential-guide,medium
c_sony,l_idm,OPERATES_IN,2026-04-01,essential-guide,medium
c_on_semi,l_idm,OPERATES_IN,2026-04-01,essential-guide,medium
c_cirrus_logic,l_idm,OPERATES_IN,2026-04-01,essential-guide,medium
c_sk_hynix,l_memory,OPERATES_IN,2026-04-01,essential-guide,high
c_kioxia,l_memory,OPERATES_IN,2026-04-01,essential-guide,high
c_ymtc,l_memory,OPERATES_IN,2026-04-01,essential-guide,high
c_winbond,l_memory,OPERATES_IN,2026-04-01,essential-guide,medium
c_macronix,l_memory,OPERATES_IN,2026-04-01,essential-guide,medium
c_ase,l_packaging,OPERATES_IN,2026-04-01,essential-guide,high
c_amkor,l_packaging,OPERATES_IN,2026-04-01,essential-guide,high
c_jcet,l_packaging,OPERATES_IN,2026-04-01,essential-guide,high
c_nvidia,l_fabless,OPERATES_IN,2026-04-01,essential-guide,high
c_amd,l_fabless,OPERATES_IN,2026-04-01,essential-guide,high
c_qualcomm,l_fabless,OPERATES_IN,2026-04-01,essential-guide,high
c_broadcom,l_fabless,OPERATES_IN,2026-04-01,essential-guide,high
c_mediatek,l_fabless,OPERATES_IN,2026-04-01,essential-guide,high
c_apple,l_fabless,OPERATES_IN,2026-04-01,essential-guide,medium
c_huawei_hisilicon,l_fabless,OPERATES_IN,2026-04-01,essential-guide,medium
